Time,VP,DT,PR,MR,ST,DR
130,80,60,1505,0.592028344,37.53,0.021318101
140,80,60,1505,0.562393183,34.252,0.021115136
150,80,60,1505,0.53424147,38.368,0.020914104
160,80,60,1505,0.507498947,34.419,0.020714985
170,80,60,1505,0.477148674,38.623,0.020497328
180,80,60,1505,0.448613458,31.961,0.020281958
190,80,60,1505,0.421784751,36.074,0.020068851
200,80,60,1505,0.396560498,31.271,0.019857982
210,80,60,1505,0.367664979,36.099,0.019518834
220,80,60,1505,0.340874942,28.72,0.019185478
230,80,60,1505,0.31603697,35.069,0.018857816
240,80,60,1505,0.293008826,29.244,0.018535749
250,80,60,1505,0.265685575,34.928,0.018137442
260,80,60,1505,0.240910234,39.32,0.017747694
270,80,60,1505,0.218445209,33.48,0.017366322
280,80,60,1505,0.198075061,39.88,0.016993144
290,80,60,1505,0.168980464,32.864,0.016913
300,80,60,1505,0.144159477,39.929,0.016833234
310,80,60,1505,0.122984364,30.688,0.016753844
320,80,60,1505,0.104919594,38.005,0.016674829
330,80,60,1505,0.086233253,30.558,0.014750564
340,80,60,1505,0.070874978,36.567,0.013048358
350,80,60,1505,0.058252036,32.817,0.011542585
360,80,60,1505,0.047877259,33.607,0.010210578
370,80,60,1505,0.032131193,40.47,0.009234584
380,80,60,1505,0.021563757,31.299,0.008351883
390,80,60,1505,0.014471782,40.08,0.007553556
400,80,60,1505,0.009712244,27.609,0.006831538
410,80,60,1505,0.009607983,35.938,0.002199874
420,80,60,1505,0.009504841,27.289,0.000708397
430,80,60,1505,0.009402807,33.288,0.000228116
440,80,60,1505,0.009301867,30.72265028,7.34574E-05
0,80,70,1505,1,28.355,0
10,80,70,1505,0.952487452,34.159,0.03387051
20,80,70,1505,0.907431851,38.877,0.033072976
30,80,70,1505,0.864507519,35.963,0.032294222
40,80,70,1505,0.82361364,39.971,0.031533804
50,80,70,1505,0.777329684,34.951,0.031259043
60,80,70,1505,0.733646711,39.939,0.030986676
70,80,70,1505,0.692418554,35.71,0.030716683
80,80,70,1505,0.653507264,39.839,0.030449041
90,80,70,1505,0.607511171,31.304,0.03023875
100,80,70,1505,0.564752441,38.215,0.03002991
110,80,70,1505,0.525003219,32.474,0.029822514
120,80,70,1505,0.488051683,38.317,0.029616549
130,80,70,1505,0.446642011,31.456,0.028691124
140,80,70,1505,0.408745822,37.318,0.027794616
150,80,70,1505,0.374065007,43.002,0.02692612
160,80,70,1505,0.342326751,37.182,0.026084763
170,80,70,1505,0.308976336,43.729,0.024593043
